airport_id;ano;total_movimento;cenario;conexao;demanda_liquida_aeroporto;uf
SBCN;2009;95662,0;Observado;0,0;95662,0;GO
SBCN;2010;111510,0;Observado;0,0;111510,0;GO
SBCN;2011;121896,0;Observado;0,0;121896,0;GO
SBCN;2012;117804,0;Observado;0,0;117804,0;GO
SBCN;2013;126956,0;Observado;0,0;126956,0;GO
SBCN;2014;129157,0;Observado;0,0;129157,0;GO
SBCN;2015;149462,0;Observado;0,0;149462,0;GO
SBCN;2016;147232,0;Observado;0,0;147232,0;GO
SBCN;2017;137910,0;Observado;0,0;137910,0;GO
SBCN;2018;138234,0;Observado;0,0;138234,0;GO
SBCN;2019;136021,0;Observado;0,0;136021,0;GO
SBCN;2020;27512,0;Observado;0,0;27512,0;GO
SBCN;2021;53353,0;Observado;0,0;53353,0;GO
SBCN;2022;58177,0;Observado;0,0;58177,0;GO
SBCN;2023;55288,0;Observado;0,0;55288,0;GO
SBCN;2024;61565,0;Observado;0,0;61565,0;GO
SBCP;2004;9321,0;Observado;0,0;9321,0;RJ
SBCP;2005;7268,0;Observado;0,0;7268,0;RJ
SBCP;2006;4995,0;Observado;0,0;4995,0;RJ
SBCP;2007;4246,0;Observado;0,0;4246,0;RJ
SBCP;2008;1415,0;Observado;0,0;1415,0;RJ
SBCP;2009;6907,0;Observado;0,0;6907,0;RJ
SBCP;2010;6941,0;Observado;0,0;6941,0;RJ
SBCP;2011;15409,0;Observado;0,0;15409,0;RJ
SBCP;2012;36758,0;Observado;0,0;36758,0;RJ
SBCP;2013;40516,0;Observado;0,0;40516,0;RJ
SBCP;2014;51560,0;Observado;0,0;51560,0;RJ
SBCP;2015;48971,0;Observado;0,0;48971,0;RJ
SBCP;2016;33935,0;Observado;0,0;33935,0;RJ
SBCP;2017;24409,0;Observado;0,0;24409,0;RJ
SBCP;2018;16086,0;Observado;0,0;16086,0;RJ
SBCP;2019;13670,0;Observado;0,0;13670,0;RJ
SBCP;2020;4082,0;Observado;0,0;4082,0;RJ
SBCP;2021;13815,0;Observado;0,0;13815,0;RJ
SBCP;2022;30773,0;Observado;0,0;30773,0;RJ
SBCP;2023;28104,0;Observado;0,0;28104,0;RJ
SBCP;2024;27857,0;Observado;0,0;27857,0;RJ
SBCR;2004;23652,0;Observado;0,0;23652,0;MS
SBCR;2005;33788,0;Observado;0,0;33788,0;MS
SBCR;2006;31981,0;Observado;0,0;31981,0;MS
SBCR;2007;32711,0;Observado;0,0;32711,0;MS
SBCR;2008;24372,0;Observado;0,0;24372,0;MS
SBCR;2009;24748,0;Observado;0,0;24748,0;MS
SBCR;2010;26072,0;Observado;0,0;26072,0;MS
SBCR;2011;29752,0;Observado;0,0;29752,0;MS
SBCR;2012;30049,0;Observado;0,0;30049,0;MS
SBCR;2013;28158,0;Observado;0,0;28158,0;MS
SBCR;2014;33678,0;Observado;0,0;33678,0;MS
SBCR;2015;32986,0;Observado;0,0;32986,0;MS
SBCR;2016;34180,0;Observado;0,0;34180,0;MS
SBCR;2017;27731,0;Observado;0,0;27731,0;MS
SBCR;2018;27542,0;Observado;0,0;27542,0;MS
SBCR;2019;28114,0;Observado;0,0;28114,0;MS
SBCR;2020;5790,0;Observado;0,0;5790,0;MS
SBCR;2021;19931,0;Observado;0,0;19931,0;MS
SBCR;2022;37210,0;Observado;0,0;37210,0;MS
SBCR;2023;26104,0;Observado;0,0;26104,0;MS
SBCR;2024;22831,0;Observado;0,0;22831,0;MS
SBCT;2004;2611885,0;Observado;0,0;2611885,0;PR
SBCT;2005;3136011,0;Observado;0,0;3136011,0;PR
SBCT;2006;3383371,0;Observado;0,0;3383371,0;PR
SBCT;2007;3713249,0;Observado;0,0;3713249,0;PR
SBCT;2008;4146944,0;Observado;0,0;4146944,0;PR
SBCT;2009;4746857,0;Observado;0,0;4746857,0;PR
SBCT;2010;5786841,0;Observado;0,0;5786841,0;PR
SBCT;2011;6839066,0;Observado;0,0;6839066,0;PR
SBCT;2012;6882083,0;Observado;0,0;6882083,0;PR
SBCT;2013;6725046,0;Observado;0,0;6725046,0;PR
SBCT;2014;7188349,0;Observado;0,0;7188349,0;PR
SBCT;2015;7089521,0;Observado;0,0;7089521,0;PR
SBCT;2016;6291538,0;Observado;0,0;6291538,0;PR
SBCT;2017;6608386,0;Observado;0,0;6608386,0;PR
SBCT;2018;6269084,0;Observado;0,0;6269084,0;PR
SBCT;2019;6455324,0;Observado;0,0;6455324,0;PR
SBCT;2020;2492227,0;Observado;0,0;2492227,0;PR
