ICAO;cenario;Ano; Carga (kg) 
SBAT;Transformador;2025;60827,93543
SBAT;Transformador;2026;57797,08217
SBAT;Transformador;2027;56477,09963
SBAT;Transformador;2028;56050,9051
SBAT;Transformador;2029;56124,41415
SBAT;Transformador;2030;56492,84755
SBAT;Transformador;2031;57043,40666
SBAT;Transformador;2032;57712,21449
SBAT;Transformador;2033;58461,67326
SBAT;Transformador;2034;59269,48982
SBAT;Transformador;2035;60121,89244
SBAT;Transformador;2036;61010,46114
SBAT;Transformador;2037;61929,76273
SBAT;Transformador;2038;62876,51854
SBAT;Transformador;2039;63848,64958
SBAT;Transformador;2040;64845,10865
SBAT;Transformador;2041;65865,4447
SBAT;Transformador;2042;66909,79674
SBAT;Transformador;2043;67978,61663
SBAT;Transformador;2044;69072,74223
SBAT;Transformador;2045;70193,16998
SBAT;Transformador;2046;71341,12664
SBAT;Transformador;2047;72517,90717
SBAT;Transformador;2048;73724,92576
SBAT;Transformador;2049;74963,57255
SBAT;Transformador;2050;76235,2787
SBAT;Transformador;2051;77541,38747
SBAT;Transformador;2052;78883,22089
SBAT;Transformador;2053;80261,98762
SBAT;Transformador;2054;81678,8454
SBAT;Observado;2004;0
SBAT;Observado;2005;13654
SBAT;Observado;2006;6849
SBAT;Observado;2007;6433
SBAT;Observado;2008;17912
SBAT;Observado;2009;5355
SBAT;Observado;2010;1664
SBAT;Observado;2011;15301
SBAT;Observado;2012;31249
SBAT;Observado;2013;21845
SBAT;Observado;2014;51942
SBAT;Observado;2015;62389
SBAT;Observado;2016;61911
SBAT;Observado;2017;55089
SBAT;Observado;2018;68827
SBAT;Observado;2019;81939
SBAT;Observado;2020;36396
SBAT;Observado;2021;60867
SBAT;Observado;2022;69618
SBAT;Observado;2023;19678
SBAT;Observado;2024;48378
SBAT;Tendencial;2024;48378
SBAT;Transformador;2024;48378
SBAT;Pessimista;2024;48378
SBAU;Tendencial;2025;111793,262
SBAU;Tendencial;2026;109247,4653
SBAU;Tendencial;2027;112247,7042
SBAU;Tendencial;2028;115894,4492
SBAU;Tendencial;2029;119183,417
SBAU;Tendencial;2030;122022,7214
SBAU;Tendencial;2031;124514,1105
SBAU;Tendencial;2032;126772,0697
SBAU;Tendencial;2033;128884,916
SBAU;Tendencial;2034;130915,0903
SBAU;Tendencial;2035;132905,1988
SBAU;Tendencial;2036;134885,4226
SBAU;Tendencial;2037;136876,8244
SBAU;Tendencial;2038;138895,0189
SBAU;Tendencial;2039;140951,4375
SBAU;Tendencial;2040;143054,7277
SBAU;Tendencial;2041;145210,8496
SBAU;Tendencial;2042;147424,1521
SBAU;Tendencial;2043;149697,1848
SBAU;Tendencial;2044;152031,2702
SBAU;Tendencial;2045;154426,4729
SBAU;Tendencial;2046;156882,2041
SBAU;Tendencial;2047;159397,0698
SBAU;Tendencial;2048;161969,3482
SBAU;Tendencial;2049;164596,9529
SBAU;Tendencial;2050;167277,8576
SBAU;Tendencial;2051;170009,9624
SBAU;Tendencial;2052;172791,4473
SBAU;Tendencial;2053;175620,7241
SBAU;Tendencial;2054;178496,7081
SBAU;Pessimista;2025;111793,262
SBAU;Pessimista;2026;108844,0016
SBAU;Pessimista;2027;111295,6792
SBAU;Pessimista;2028;114271,5858
SBAU;Pessimista;2029;116802,3068
SBAU;Pessimista;2030;118823,7024
SBAU;Pessimista;2031;120455,3354
SBAU;Pessimista;2032;121821,8547
SBAU;Pessimista;2033;123016,8864
SBAU;Pessimista;2034;124105,2796
SBAU;Pessimista;2035;125130,4155
SBAU;Pessimista;2036;126122,2494
SBAU;Pessimista;2037;127101,0963
SBAU;Pessimista;2038;128081,4753
SBAU;Pessimista;2039;129073,557
SBAU;Pessimista;2040;130084,6288
SBAU;Pessimista;2041;131119,3213
SBAU;Pessimista;2042;132180,6705
SBAU;Pessimista;2043;133270,0261
SBAU;Pessimista;2044;134387,6158
SBAU;Pessimista;2045;135532,5662
SBAU;Pessimista;2046;136703,4615
SBAU;Pessimista;2047;137898,2386
SBAU;Pessimista;2048;139114,6129
SBAU;Pessimista;2049;140350,0578
SBAU;Pessimista;2050;141602,1653
SBAU;Pessimista;2051;142868,5338
SBAU;Pessimista;2052;144147,0544
SBAU;Pessimista;2053;145435,8633
SBAU;Pessimista;2054;146733,5485
SBAU;Transformador;2025;111793,262
SBAU;Transformador;2026;109722,1761
SBAU;Transformador;2027;113341,89
SBAU;Transformador;2028;117700,5906
SBAU;Transformador;2029;121759,5827
SBAU;Transformador;2030;125409,4707
SBAU;Transformador;2031;128744,547
SBAU;Transformador;2032;131876,9324
SBAU;Transformador;2033;134894,9215
SBAU;Transformador;2034;137862,0137
SBAU;Transformador;2035;140822,3424
SBAU;Transformador;2036;143807,9144
SBAU;Transformador;2037;146841,742
SBAU;Transformador;2038;149941,5226
SBAU;Transformador;2039;153120,8342
SBAU;Transformador;2040;156390,5329
SBAU;Transformador;2041;159758,7601
SBAU;Transformador;2042;163232,0515
SBAU;Transformador;2043;166815,0645
SBAU;Transformador;2044;170511,1612
SBAU;Transformador;2045;174322,3259
SBAU;Transformador;2046;178249,8137
SBAU;Transformador;2047;182293,9485
SBAU;Transformador;2048;186454,6484
SBAU;Transformador;2049;190731,369
SBAU;Transformador;2050;195123,5923
SBAU;Transformador;2051;199630,6687
SBAU;Transformador;2052;204252,2384
SBAU;Transformador;2053;208988,1849
SBAU;Transformador;2054;213838,9756
SBAU;Observado;2004;18470
SBAU;Observado;2005;22404
SBAU;Observado;2006;24750
SBAU;Observado;2007;41782
SBAU;Observado;2008;39244
SBAU;Observado;2009;33415
SBAU;Observado;2010;12353
SBAU;Observado;2011;506
SBAU;Observado;2012;952
SBAU;Observado;2013;4
SBAU;Observado;2014;38766
SBAU;Observado;2015;65269
SBAU;Observado;2016;95732
SBAU;Observado;2017;95212
SBAU;Observado;2018;118132
SBAU;Observado;2019;125117
SBAU;Observado;2020;108496
SBAU;Observado;2021;89421
SBAU;Observado;2022;109239
SBAU;Observado;2023;103747
SBAU;Observado;2024;126346
SBAU;Tendencial;2024;126346
SBAU;Transformador;2024;126346
SBAU;Pessimista;2024;126346
SBAX;Tendencial;2025;18894,06094
SBAX;Tendencial;2026;20574,50895
SBAX;Tendencial;2027;24630,03849
SBAX;Tendencial;2028;28711,196
SBAX;Tendencial;2029;31991,10533
SBAX;Tendencial;2030;34408,38072
SBAX;Tendencial;2031;36159,65599
SBAX;Tendencial;2032;37463,30663
SBAX;Tendencial;2033;38487,56178
