Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;SBAX;2043;556,6788891
Pessimista;domestico;SBAX;2044;562,3364657
Pessimista;domestico;SBAX;2045;568,0760346
Pessimista;domestico;SBAX;2046;573,4193775
Pessimista;domestico;SBAX;2047;578,7448676
Pessimista;domestico;SBAX;2048;584,1588266
Pessimista;domestico;SBAX;2049;589,665458
Pessimista;domestico;SBAX;2050;595,2406628
Pessimista;domestico;SBAX;2051;601,1404951
Pessimista;domestico;SBAX;2052;607,2531366
Pessimista;domestico;SBAX;2053;613,4551387
Pessimista;domestico;SBAX;2054;619,7617217
Pessimista;domestico;SBBE;2025;30988,50353
Pessimista;domestico;SBBE;2026;30205,17889
Pessimista;domestico;SBBE;2027;30091,37022
Pessimista;domestico;SBBE;2028;30136,70216
Pessimista;domestico;SBBE;2029;30273,62952
Pessimista;domestico;SBBE;2030;30383,39887
Pessimista;domestico;SBBE;2031;30518,24232
Pessimista;domestico;SBBE;2032;30486,49025
Pessimista;domestico;SBBE;2033;30604,35962
Pessimista;domestico;SBBE;2034;30558,00172
Pessimista;domestico;SBBE;2035;30483,80929
Pessimista;domestico;SBBE;2036;30453,42596
Pessimista;domestico;SBBE;2037;30546,41087
Pessimista;domestico;SBBE;2038;30599,37517
Pessimista;domestico;SBBE;2039;30692,10665
Pessimista;domestico;SBBE;2040;30717,26099
Pessimista;domestico;SBBE;2041;30818,40536
Pessimista;domestico;SBBE;2042;30668,83157
Pessimista;domestico;SBBE;2043;30589,70287
Pessimista;domestico;SBBE;2044;30515,25698
Pessimista;domestico;SBBE;2045;30580,41295
Pessimista;domestico;SBBE;2046;30591,57891
Pessimista;domestico;SBBE;2047;30679,69386
Pessimista;domestico;SBBE;2048;30723,33162
Pessimista;domestico;SBBE;2049;30680,45099
Pessimista;domestico;SBBE;2050;30629,68358
Pessimista;domestico;SBBE;2051;30725,77722
Pessimista;domestico;SBBE;2052;30855,4728
Pessimista;domestico;SBBE;2053;30957,29316
Pessimista;domestico;SBBE;2054;31058,90386
Pessimista;domestico;SBBG;2025;135,6761901
Pessimista;domestico;SBBG;2026;149,2652725
Pessimista;domestico;SBBG;2027;156,4317755
Pessimista;domestico;SBBG;2028;161,163618
Pessimista;domestico;SBBG;2029;164,9278299
Pessimista;domestico;SBBG;2030;168,5887772
Pessimista;domestico;SBBG;2031;172,2956433
Pessimista;domestico;SBBG;2032;175,7508734
Pessimista;domestico;SBBG;2033;179,2046589
Pessimista;domestico;SBBG;2034;182,5768683
Pessimista;domestico;SBBG;2035;185,899205
Pessimista;domestico;SBBG;2036;189,3121473
Pessimista;domestico;SBBG;2037;192,6425076
Pessimista;domestico;SBBG;2038;196,1495521
Pessimista;domestico;SBBG;2039;199,6012318
Pessimista;domestico;SBBG;2040;203,0131994
Pessimista;domestico;SBBG;2041;206,5482758
Pessimista;domestico;SBBG;2042;210,1848839
Pessimista;domestico;SBBG;2043;213,6282447
Pessimista;domestico;SBBG;2044;217,2862031
Pessimista;domestico;SBBG;2045;220,8993466
Pessimista;domestico;SBBG;2046;223,7616011
Pessimista;domestico;SBBG;2047;226,5141617
Pessimista;domestico;SBBG;2048;229,4668355
Pessimista;domestico;SBBG;2049;232,4597989
Pessimista;domestico;SBBG;2050;235,5178167
Pessimista;domestico;SBBG;2051;238,6403125
Pessimista;domestico;SBBG;2052;241,9237688
Pessimista;domestico;SBBG;2053;245,2094541
Pessimista;domestico;SBBG;2054;248,6554805
Pessimista;domestico;SBBR;2025;119871,1959
Pessimista;domestico;SBBR;2026;122991,1645
Pessimista;domestico;SBBR;2027;125009,8429
Pessimista;domestico;SBBR;2028;126648,2558
Pessimista;domestico;SBBR;2029;128168,6507
Pessimista;domestico;SBBR;2030;129616,259
Pessimista;domestico;SBBR;2031;130958,8148
Pessimista;domestico;SBBR;2032;132263,086
Pessimista;domestico;SBBR;2033;133476,8441
Pessimista;domestico;SBBR;2034;134726,8041
Pessimista;domestico;SBBR;2035;136009,3407
Pessimista;domestico;SBBR;2036;137202,9007
Pessimista;domestico;SBBR;2037;138471,6512
Pessimista;domestico;SBBR;2038;139841,8463
Pessimista;domestico;SBBR;2039;140851,834
Pessimista;domestico;SBBR;2040;142187,7169
Pessimista;domestico;SBBR;2041;143543,5237
Pessimista;domestico;SBBR;2042;144791,9782
Pessimista;domestico;SBBR;2043;146196,6354
Pessimista;domestico;SBBR;2044;147565,9689
